,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,Nome_Município,abstencao
354,0.618,0.548,0.567,0.758,VIANA,44.89510489510489
355,0.686,0.589,0.672,0.816,VIANA,44.89510489510489
356,0.57,0.477,0.563,0.688,VITORINO FREIRE,36.11111111111111
357,0.595,0.505,0.559,0.745,ZÉ DOCA,42.25941422594142
358,0.639,0.569,0.6,0.763,ÁGUA BRANCA,44.82758620689656
359,0.572,0.484,0.542,0.712,ÁGUA BRANCA,44.82758620689656
360,0.549,0.432,0.527,0.728,ÁGUA BRANCA,44.82758620689656
361,0.614,0.512,0.59,0.767,ALTOS,33.76146788990826
362,0.598,0.497,0.574,0.75,AMARANTE,42.38095238095238
363,0.595,0.485,0.558,0.779,BARRAS,34.58528951486698
364,0.545,0.398,0.54,0.755,BATALHA,42.46031746031746
365,0.594,0.496,0.563,0.752,BATALHA,42.46031746031746
366,0.668,0.562,0.665,0.799,BOM JESUS,37.57309941520468
367,0.584,0.46,0.583,0.743,BOM JESUS,37.57309941520468
368,0.597,0.477,0.584,0.762,BOM JESUS,37.57309941520468
369,0.718,0.606,0.74,0.827,BOM JESUS,37.57309941520468
370,0.666,0.51,0.697,0.832,BOM JESUS,37.57309941520468
371,0.565,0.452,0.544,0.735,BURITI DOS LOPES,43.710691823899374
372,0.656,0.566,0.629,0.793,CAMPO MAIOR,28.31168831168831
373,0.576,0.462,0.571,0.724,CANTO DO BURITI,38.92857142857143
374,0.587,0.473,0.566,0.754,CASTELO DO PIAUÍ,40.16393442622951
375,0.642,0.54,0.62,0.789,CORRENTE,37.83783783783784
376,0.7,0.633,0.676,0.802,FLORIANO,29.86666666666667
377,0.618,0.512,0.591,0.781,JOSÉ DE FREITAS,28.82096069868996
378,0.545,0.42,0.55,0.7,LUZILÂNDIA,44.27244582043344
379,0.539,0.396,0.533,0.742,MIGUEL ALVES,50.0
380,0.615,0.524,0.568,0.781,MONSENHOR GIL,33.52601156069364
381,0.634,0.547,0.619,0.753,OEIRAS,24.63186077643909
382,0.687,0.604,0.658,0.816,PARNAÍBA,34.671945701357465
383,0.6,0.472,0.596,0.767,PAULISTANA,32.467532467532465
384,0.571,0.428,0.566,0.767,PEDRO II,37.60217983651226
385,0.698,0.621,0.684,0.8,PICOS,29.0838584585555
386,0.564,0.44,0.538,0.758,PIO IX,42.95302013422819
387,0.596,0.478,0.575,0.77,PIRACURUCA,44.34389140271493
388,0.635,0.533,0.621,0.775,PIRIPIRI,34.15977961432507
389,0.591,0.498,0.582,0.714,REGENERAÇÃO,39.50617283950617
390,0.645,0.567,0.615,0.769,SÃO JOÃO DO PIAUÍ,47.23618090452261
391,0.595,0.492,0.553,0.776,SÃO PEDRO DO PIAUÍ,29.166666666666668
392,0.661,0.587,0.631,0.779,SÃO RAIMUNDO NONATO,30.89700996677741
393,0.751,0.707,0.731,0.82,TERESINA,29.27350427350428
394,0.577,0.453,0.542,0.781,UNIÃO,36.23978201634878
395,0.631,0.516,0.614,0.794,URUÇUÍ,37.29977116704806
396,0.647,0.566,0.62,0.773,VALENÇA DO PIAUÍ,36.102719033232624
397,0.571,0.474,0.554,0.708,VÁRZEA GRANDE,45.540691192865104
398,0.734,0.661,0.711,0.842,VÁRZEA GRANDE,45.540691192865104
399,0.606,0.562,0.559,0.709,ACARAPE,36.0
400,0.601,0.517,0.554,0.758,ACARAÚ,53.10945273631841
401,0.595,0.517,0.563,0.724,ACOPIARA,46.285714285714285
402,0.601,0.499,0.563,0.774,ALTO SANTO,49.02912621359224
403,0.606,0.582,0.503,0.761,AMONTADA,57.72151898734177
404,0.641,0.55,0.608,0.788,AQUIRAZ,56.379100850546784
405,0.655,0.624,0.607,0.742,ARACATI,50.67466266866567
406,0.615,0.556,0.55,0.759,ARACOIABA,51.00222717149221
407,0.564,0.459,0.515,0.759,ARARIPE,52.20264317180616
408,0.622,0.587,0.53,0.775,ARATUBA,46.66666666666666
409,0.6,0.482,0.573,0.783,ASSARÉ,60.582822085889575
410,0.605,0.521,0.557,0.764,AURORA,27.30496453900709
411,0.733,0.606,0.748,0.87,AURORA,27.30496453900709
412,0.606,0.53,0.54,0.779,BANABUIÚ,62.34309623430963
413,0.683,0.637,0.613,0.817,BARBALHA,54.41354292623942
414,0.616,0.551,0.551,0.771,BARREIRA,66.13924050632912
415,0.599,0.51,0.556,0.758,BARRO,28.43601895734597
416,0.571,0.505,0.512,0.72,BARROQUINHA,33.064516129032256
