municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Grão Mogol;Minas Gerais;3127800.0;10.0;0.0006314725940894166;0.0087143217984339;0.0001894417782268;0.0028416266734023;6.314725940894166e-05;-7.6000000000000085;6.8;0.8;34.375
Alto Paraná;Paraná;4100608.0;39.0;0.0026404874746106975;0.0215301286391333;0.0001354096140825;0.0062965470548408;6.770480704129993e-05;-4.300000000000011;2.6;1.7;29.594017094017097
Cariri do Tocantins;Tocantins;1703867.0;16.0;0.003651300775901415;0.0579643998174349;0.0009128251939753;0.0073026015518028;0.0;9.5;0.0;-9.5;75.0
Santa Branca;São Paulo;3546009.0;28.0;0.0018934271030565323;0.0213010549093859;0.0005409791723018;0.0045307005680281;0.0;-3.6999999999999886;3.5;0.20000000000000018;37.63736263736263
Águas Frias;Santa Catarina;4200556.0;15.0;0.006339814032121725;0.0769230769230769;0.0;0.0088757396449704;0.0;12.900000000000006;-6.5;-6.4;9.803921568627448
Quatis;Rio de Janeiro;3304128.0;15.0;0.0010488043630261501;0.0274786743112851;0.000349601454342;0.0121661306111033;0.0001398405817368;-13.599999999999994;17.6;-4.0;46.20689655172414
Nova Laranjeiras;Paraná;4117057.0;25.0;0.002163752812878657;0.0127228665397265;8.655011251514626e-05;0.0048468063008481;0.0;7.099999999999994;-4.3;-2.8;39.86206896551724
Laranjal;Paraná;4113254.0;8.0;0.001367053998632946;0.0076896787423103;0.0001708817498291;0.0056390977443609;0.0;5.5;-0.20000000000000018;-5.3;33.33333333333333
São Miguel dos Milagres;Alagoas;2708709.0;24.0;0.0030184882404728965;0.0162243742925418;0.0007546220601182;0.000125770343353;0.0;-1.9000000000000057;-1.3;3.2;12.787356321839075
Piedade do Rio Grande;Minas Gerais;3150307.0;8.0;0.00177896375361352;0.0091171892372692;0.000667111407605;0.0017789637536135;0.0002223704692016;-22.5;16.6;5.9;0.862068965517242
Gouvelândia;Goiás;5209150.0;13.0;0.002204136995591726;0.027636486944727;0.0001695489996609;0.0003390979993218;0.0;-2.9000000000000057;2.9;0.0;-21.15384615384616
Águas Mornas;Santa Catarina;4200606.0;24.0;0.0037100015458339775;0.0743546143144226;0.0004637501932292;0.0080383366826402;0.000154583397743;-7.0;8.4;-1.4;24.596774193548388
