Name,CodMun,PIB per Capita,Quantidade de Leitos - Pneumologia,Quantidade de Leitos - Complementares,Quantidade de Leitos - Internacao,Quantidade de Profissionais de Saude,Quantidade de Ventiladores e Respiradores,Ventiladores e Respiradores em uso,Existem Favelas (s/n),Área (km²),Populacao (2019),Densidade Demográfica (hab/km²),Quantidade de Leitos - Pneumologia (por 100 mil hab)
Senador Guiomard-AC,120045,14081,,1.00,29.00,242,,,0.00,2321.45,23024.00,9.92,
Tarauacá-AC,120060,8927,,,42.00,307,2.00,1.00,0.00,20171.02,42567.00,2.11,
Xapuri-AC,120070,9893,,,30.00,192,2.00,2.00,0.00,5347.28,19323.00,3.61,
Alvarães-AM,130002,5997,,,22.00,269,,,0.00,5911.77,16041.00,2.71,
Amaturá-AM,130006,5731,,1.00,30.00,229,,,1.00,4758.75,11536.00,2.42,
Anamã-AM,130008,7248,,,20.00,228,,,,2453.93,13614.00,5.55,
Anori-AM,130010,8398,,,23.00,158,,,,5795.31,21010.00,3.63,
Apuí-AM,130014,8265,,2.00,42.00,259,1.00,1.00,0.00,54239.91,21973.00,0.41,
Atalaia do Norte-AM,130020,5846,,1.00,30.00,352,,,,76351.88,19921.00,0.26,
Autazes-AM,130030,5606,,2.00,31.00,487,1.00,1.00,1.00,7599.35,39565.00,5.21,
Barcelos-AM,130040,4960,,,30.00,458,,,1.00,122476.01,27502.00,0.22,
Barreirinha-AM,130050,6599,,,31.00,426,,,0.00,5750.55,32041.00,5.57,
Benjamin Constant-AM,130060,6337,,4.00,37.00,526,,,0.00,8793.42,42984.00,4.89,
Beruri-AM,130063,6233,,1.00,13.00,186,,,1.00,17250.71,19679.00,1.14,
Boa Vista do Ramos-AM,130068,5950,,,22.00,254,,,0.00,2586.84,19207.00,7.42,
Boca do Acre-AM,130070,7241,,,61.00,487,,,,21952.76,34308.00,1.56,
Borba-AM,130080,6223,,2.00,38.00,488,2.00,,1.00,44251.70,41161.00,0.93,
Caapiranga-AM,130083,9265,,3.00,18.00,219,,,1.00,9456.61,13081.00,1.38,
Canutama-AM,130090,5527,,,16.00,178,,,,29819.72,15629.00,0.52,
Carauari-AM,130100,7850,,,50.00,267,1.00,1.00,1.00,25767.71,28294.00,1.10,
Careiro-AM,130110,5548,,,20.00,455,,,,6091.55,37869.00,6.22,
Careiro da Várzea-AM,130115,8773,,,,313,,,0.00,2631.14,30225.00,11.49,
Coari-AM,130120,55978,,3.00,105.00,890,3.00,3.00,1.00,57921.91,85097.00,1.47,
Codajás-AM,130130,19209,,,47.00,263,,,1.00,18711.54,28637.00,1.53,
Eirunepé-AM,130140,10226,,,80.00,513,,,1.00,15011.81,35273.00,2.35,
Envira-AM,130150,6513,,,24.00,263,,,1.00,7499.43,20033.00,2.67,
Fonte Boa-AM,130160,6071,,2.00,58.00,363,,,,12110.93,17609.00,1.45,
Guajará-AM,130165,6097,,1.00,20.00,258,,,1.00,7579.60,16678.00,2.20,
Humaitá-AM,130170,7488,,2.00,38.00,788,1.00,1.00,1.00,33071.80,55080.00,1.67,
Ipixuna-AM,130180,4212,,,26.00,284,,,1.00,12044.75,29689.00,2.46,
Iranduba-AM,130185,11176,,,32.00,734,,,1.00,2214.25,48296.00,21.81,
Itacoatiara-AM,130190,15328,,,108.00,1562,2.00,2.00,0.00,8892.02,101337.00,11.40,
Itamarati-AM,130195,8942,,,15.00,146,,,1.00,25275.97,7851.00,0.31,
Itapiranga-AM,130200,7856,,2.00,18.00,107,,,,4231.15,9148.00,2.16,
Japurá-AM,130210,8403,,,20.00,183,,,,55791.88,2755.00,0.05,
Juruá-AM,130220,6821,,,20.00,155,,,1.00,19400.71,14712.00,0.76,
Jutaí-AM,130230,10389,,2.00,18.00,390,,,1.00,69551.93,14317.00,0.21,
Lábrea-AM,130240,9182,,4.00,56.00,672,,,1.00,68233.96,46069.00,0.68,
Manacapuru-AM,130250,13399,,9.00,72.00,1160,,,1.00,7330.07,97377.00,13.28,
Manaquiri-AM,130255,6882,,,20.00,221,,,,3975.77,32105.00,8.08,
Manaus-AM,130260,32300,7.00,812.00,3372.00,32887,844.00,786.00,1.00,11401.08,2182763.00,191.45,0.32
Manicoré-AM,130270,7851,,,60.00,469,1.00,,0.00,48282.66,55751.00,1.15,
Maraã-AM,130280,5296,,1.00,19.00,201,,,1.00,16910.37,18224.00,1.08,
Maués-AM,130290,6272,,,90.00,597,5.00,5.00,0.00,39989.87,63905.00,1.60,
Nhamundá-AM,130300,6521,,1.00,19.00,293,,,1.00,14105.55,21173.00,1.50,
Nova Olinda do Norte-AM,130310,4670,,,31.00,342,,,1.00,5608.56,37378.00,6.66,
Novo Airão-AM,130320,5542,,,22.00,355,,,0.00,37771.34,19454.00,0.52,
Novo Aripuanã-AM,130330,5988,,,31.00,251,,,1.00,41188.52,25644.00,0.62,
Parintins-AM,130340,9254,,31.00,135.00,1417,7.00,7.00,1.00,5952.38,114273.00,19.20,
Pauini-AM,130350,5890,,1.00,26.00,262,1.00,1.00,1.00,41610.27,19426.00,0.47,
Presidente Figueiredo-AM,130353,23158,,2.00,29.00,458,4.00,4.00,1.00,25422.26,36279.00,1.43,
Rio Preto da Eva-AM,130356,11260,,2.00,29.00,511,1.00,1.00,0.00,5813.22,33347.00,5.74,
Santa Isabel do Rio Negro-AM,130360,5001,,,20.00,297,,,1.00,62846.38,25156.00,0.40,
Santo Antônio do Içá-AM,130370,5217,,1.00,53.00,392,,,,12307.20,21602.00,1.76,
São Gabriel da Cachoeira-AM,130380,5211,,2.00,89.00,798,8.00,8.00,,109183.45,45564.00,0.42,
