municipio,PIB,IDHM,densidade,diferenca,estado,Casos_per_capita,Mortes_per_capita,Relacao_casos_mes,Relacao_obitos_mes,Diferenca_aprovacao,Diferenca_reprovacao
Taguaí,18991.64,0.709,95.36,0.1301236174365598,São Paulo,0.0458186016307092,0.0003607763907929,0.0108232917237895,7.21552781585973e-05,0.0,0.0
Taiaçu,14875.81,0.71,59.03,22.72727272727273,São Paulo,0.0359015091342335,0.0001588562351072,0.0022239872915011,0.0,0.0,0.0
Tailândia,8945.48,0.588,24.0,33.42940977902417,Pará,0.0239799132961566,0.0004231749405204,0.0008839654313093,6.582721296984173e-05,16.099999999999994,-7.300000000000001
Taiobeiras,13843.51,0.67,28.57,23.26505016722408,Minas Gerais,0.0251084026719793,0.000234384155631,0.0106058830423063,2.929801945388492e-05,-1.4000000000000057,-2.9
Taipu,10140.79,0.569,34.8,20.0,Rio Grande do Norte,0.0195455655998045,0.0004886391399951,0.0006515188533268,0.0,10.900000000000006,-5.1
Taió,36282.1,0.761,26.54,42.136003337505215,Santa Catarina,0.0584941560206577,0.0004892633867898,0.0115248708888284,0.0001087251970644,-20.200000000000003,15.000000000000002
Taiúva,19959.4,0.76,42.02,30.817610062893078,São Paulo,0.0596478620194035,0.0010779734099892,0.0046712181099532,0.0001796622349982,1.7000000000000028,0.0
Talismã,32059.45,0.654,1.29,71.11111111111111,Tocantins,0.0522735409953455,0.0003580379520229,0.0146795560329394,0.0,-2.9000000000000057,-3.8
Tamandaré,13636.78,0.593,109.13,37.65432098765433,Pernambuco,0.0168890029074739,0.0007696254489481,0.000299298785702,4.275696938600992e-05,0.2999999999999971,-0.3000000000000002
Tamarana,20244.07,0.621,31.34,24.45652173913044,Paraná,0.0296005947151449,0.0007433939312022,0.0072311955126039,6.75812664729337e-05,2.799999999999997,-3.6
Tambaú,24622.1,0.731,41.31,24.212773527842018,São Paulo,0.0265437152583272,0.0005170853621752,0.0035334166415305,0.0,4.200000000000003,-2.1
Tamboril,9139.65,0.58,13.12,33.38989441930619,Ceará,0.0316178431297855,0.0002666565083234,0.0070473505771208,0.0,2.4000000000000057,-0.2
Tamboril do Piauí,8862.88,0.501,1.84,39.583333333333336,Piauí,0.0065090784515244,0.0,0.0,0.0,4.400000000000006,-2.2
Tanabi,36753.82,0.748,34.82,-1.0227272727272698,São Paulo,0.0678168444564254,0.0012708437632379,0.0090884584280047,0.0001155312512034,0.0,0.0
Tangará,9910.47,0.608,44.07,15.0,Rio Grande do Norte,0.0100464169898899,0.0004450944236027,0.0018439626120684,0.000127169835315,26.40000000000001,-8.3
Tangará,50470.93,0.737,22.29,38.2313829787234,Santa Catarina,0.0563623789764868,0.0005763024435223,0.0107192254495159,0.0001152604887044,-1.7999999999999972,0.0
Tangará da Serra,32992.97,0.729,9.11,26.16417886205272,Mato Grosso,0.0855421686746988,0.0011662650602409,0.0207614457831325,0.0003277108433734,11.400000000000006,-3.5
Tanguá,16878.1,0.654,235.8,29.692733362458128,Rio de Janeiro,0.0478300154478416,0.0016613716517531,0.0099390830394357,0.0002040280975837,11.700000000000005,-6.4
Tanhaçu,9465.46,0.577,16.53,-5.21768029245596,Bahia,0.0176444640494045,9.802480027446944e-05,0.0047051904131745,4.901240013723472e-05,-6.900000000000006,-2.8
Tanque Novo,9529.31,0.599,24.02,4.679245283018867,Bahia,0.0058735460094437,5.758378440631118e-05,0.0044339513992859,0.0,-47.2,-2.2
Tanque d'Arca,9730.38,0.555,47.58,46.25850340136054,Alagoas,0.0274261603375527,0.0004868549172346,0.0027588445309964,0.0,2.5999999999999943,-2.6
Tanque do Piauí,10376.32,0.579,6.93,-11.178861788617889,Piauí,0.0173598553345388,0.0,0.006509945750452,0.0,-5.299999999999997,0.0
Taparuba,12325.01,0.645,16.11,7.142857142857142,Minas Gerais,0.0508038585209003,0.0009646302250803,0.007717041800643,0.0003215434083601,6.700000000000003,-3.3
