municipio;estado;regiao;Presente;Total_Alunos;populacaoTCU2019;casosAcumulado;obitosAcumulado;casosNovos_Semana;obitosNovos_Semana;Casos_per_capita;Mortes_per_capita;Relacao_Presenca;Relacao_casos_mes;Relacao_obitos_mes;diferenca;codigo
Matinha;Maranhão;Nordeste;57.0;82.0;23370.0;390.0;12;0;0;0.01668806161745828;0.0005134788189987163;0.6951219512195121;0.0;0.0;20.26053215077605;2106508.0
Santo André;São Paulo;Sudeste;2404.0;3819.0;718773.0;67206.0;3180;159;0;0.09350100796774503;0.0044242062514869085;0.6294841581565855;0.00022121031257434545;0.0;25.38888314887427;3547809.0
Porto Alegre;Rio Grande do Sul;Sul;3660.0;5650.0;1483771.0;171662.0;5765;113;2;0.11569305506038331;0.003885370451370191;0.647787610619469;7.615730459754235e-05;1.3479168955317228e-06;19.155816751256207;4314902.0
Araguaína;Tocantins;Norte;545.0;1055.0;180470.0;37793.0;546;9;0;0.20941430708705047;0.003025433590070372;0.5165876777251185;4.986978445170943e-05;0.0;37.481930999914965;1702109.0
Rio Real;Bahia;Nordeste;78.0;110.0;40732.0;3114.0;47;0;0;0.07645094765786115;0.001153883924187371;0.7090909090909091;0.0;0.0;17.09090909090909;2927002.0
Santa Cruz Cabrália;Bahia;Nordeste;26.0;56.0;27778.0;3071.0;35;2;0;0.11055511555907553;0.0012599899200806393;0.4642857142857143;7.199942400460797e-05;0.0;28.17460317460317;2927705.0
Ilhéus;Bahia;Nordeste;523.0;727.0;162327.0;22269.0;579;0;0;0.13718605037978895;0.003566874272302205;0.71939477303989;0.0;0.0;15.203379838868146;2913606.0
Barueri;São Paulo;Sudeste;1323.0;2114.0;274182.0;35444.0;1161;7;1;0.12927179756512097;0.004234413637656739;0.6258278145695364;2.553048704874864e-05;3.6472124355355204e-06;21.478651990145337;3505708.0
Beberibe;Ceará;Nordeste;325.0;679.0;53573.0;5760.0;131;2;1;0.10751684617251227;0.0024452616056595674;0.4786450662739323;3.733223825434454e-05;1.866611912717227e-05;40.60244133322563;2302206.0
Barreiras;Bahia;Nordeste;685.0;904.0;155439.0;20162.0;331;10;0;0.12971004702809463;0.0021294527113530064;0.7577433628318584;6.433391877199416e-05;0.0;13.90369401984446;2903201.0
São João Nepomuceno;Minas Gerais;Sudeste;68.0;76.0;26361.0;2764.0;47;2;0;0.10485186449679451;0.0017829369143810934;0.8947368421052632;7.586965593111036e-05;0.0;-2.0862968231389285;3162906.0
Teixeira de Freitas;Bahia;Nordeste;359.0;471.0;160487.0;19757.0;317;16;0;0.12310654445531413;0.001975237869733997;0.7622080679405521;9.969654863010711e-05;0.0;6.9411469334512255;2931350.0
Serra Branca;Paraíba;Nordeste;36.0;58.0;13699.0;1078.0;35;0;0;0.07869187531936638;0.0025549310168625446;0.6206896551724138;0.0;0.0;29.76776917663617;2515500.0
Giruá;Rio Grande do Sul;Sul;8.0;22.0;16004.0;2061.0;42;0;0;0.12878030492376905;0.0026243439140214947;0.36363636363636365;0.0;0.0;40.232108317214696;4309001.0
Poranga;Ceará;Nordeste;76.0;175.0;12336.0;1006.0;14;6;0;0.08154993514915694;0.0011348897535667965;0.4342857142857143;0.00048638132295719845;0.0;35.563025210084035;2311009.0
Betim;Minas Gerais;Sudeste;748.0;1254.0;439340.0;32600.0;1373;48;0;0.07420221240952338;0.0031251422588428096;0.5964912280701754;0.00010925479127782584;0.0;24.374545832035707;3106705.0
Itapipoca;Ceará;Nordeste;999.0;1959.0;129358.0;10787.0;284;2;0;0.08338873513814375;0.0021954575673711714;0.5099540581929556;1.5460968784304024e-05;0.0;34.854856892581914;2306405.0
Santana;Amapá;Norte;441.0;703.0;121364.0;25959.0;195;2;0;0.21389374114234863;0.001606736758841172;0.6273115220483642;1.647935137272997e-05;0.0;22.31996153525808;1600600.0
Cuiabá;Mato Grosso;Centro-Oeste;2641.0;3809.0;612547.0;114163.0;3544;23;1;0.18637427005601204;0.00578567848671204;0.6933578367025466;3.75481391631989e-05;1.6325277897043002e-06;19.55299272248909;5103403.0
Guará;São Paulo;Sudeste;30.0;41.0;21220.0;2571.0;105;1;0;0.12115928369462771;0.004948162111215834;0.7317073170731707;4.7125353440150804e-05;0.0;5.776636713735563;3517703.0
São João dos Patos;Maranhão;Nordeste;123.0;167.0;25929.0;2763.0;31;0;0;0.1065602221450885;0.001195572524972039;0.7365269461077845;0.0;0.0;15.571443320256044;2111102.0
Araguatins;Tocantins;Norte;169.0;290.0;35761.0;2680.0;72;4;0;0.07494197589552865;0.002013366516596292;0.5827586206896552;0.00011185369536646068;0.0;30.22254048694503;1702208.0
Nova Iguaçu;Rio de Janeiro;Sudeste;1738.0;2940.0;821128.0;27076.0;2136;87;1;0.032974152629066354;0.002601299675568243;0.591156462585034;0.0001059518126284818;1.2178369267641585e-06;24.78806603848036;3303500.0
São Bernardo do Campo;São Paulo;Sudeste;2105.0;3250.0;838936.0;73671.0;3342;80;3;0.08781480351302126;0.003983617343873668;0.6476923076923077;9.535888315676047e-05;3.5759581183785175e-06;20.8281143635126;3548708.0
